fold,participant,windows,mae,rmse,corr
157,bea4c7250c8631ddfacf57dfa386caba,18,4.847241603116282,5.40740910656345,0.8146123183513375
158,c0fec81b63a711ebc1c29a5df6e21b07,16,3.39628707775287,4.256045231048527,0.7371615073469842
159,c21283c11daebb61004b688f04c27715,7,3.1356457261402726,3.6217574845265847,0.6110945749947365
160,c21d2515be8477a92181b9c0035a9884,6,2.429886375612662,3.2014909531140994,0.8542432260142861
161,c2d80f95e15e8973a9a943564baea1b7,18,3.177576122550372,3.8705185889816485,0.8316057905019606
162,c31fd374e5d8227a31bf8f06f0402b96,10,3.8818480421287402,4.354443762376208,0.5709530628004564
163,c37f9221f44e9ca35a49180dc05a7587,16,3.476876474994807,4.47273623015808,0.7205123286714827
164,c4de76cb7f30c4073617bfb80fabaec6,6,1.6959518982406372,1.984763370763164,0.8784912314062698
165,c703d4732f997328085fad609ecd6656,6,3.4390174800367155,4.258385869698036,0.6934786648252781
166,c75fc80fba7cbe2b7d9cbc71be5b91a6,1,2.1315977643996797,2.1315977643996797,nan
167,c7d47e96f38254e31508ca2c19b24d29,3,3.455981668786297,3.970254015343367,0.9969221733299531
168,c98557ba920872193b0d6d8d90ac2eb0,5,4.261640994293473,5.264025139841549,0.7932331527076368
169,cf007be9a060b779cf5a71b3e59a9d5b,8,2.7944383513489415,3.285133814593404,0.782503585411284
170,d038cb570b5de5840c0677e72d2ba198,10,5.339633469116178,6.147696127578939,0.5830796294943366
171,d060bfe5da35b9cbd05e3dc33e167092,2,1.8126794125310262,1.8924282841400215,-0.9999999999999999
172,d1075cae00d6198eb840ad42a2df742c,9,3.9509451431090747,4.718635482109051,0.5960847375775556
173,d1cd5ab675681cd980ee4dd212d8c53c,3,4.175878369539239,5.021846629149239,0.7158714697615647
174,d2c8a48736cfe925440115558db860ee,11,3.2303095363031002,3.8378389055615356,0.6406508597161186
175,d86f28a1830ecec98f00cd0fddf8b1ef,15,2.1018863790016438,2.6482604774995715,0.9432951970521551
176,da130c5ecc942e7cd705585222a42adf,4,2.4659567177146444,3.3289462517336705,0.8375271941194499
177,db422d4921bbfae5352fdc90cea7bd07,3,5.073671239370008,5.206914932497817,0.6409532841787755
178,db8df8be53722b041b1e649ae0c0b5d4,2,1.5456787202155253,1.607580550420989,1.0
179,dd2ab53554046244203dfb4a72ad4e18,2,7.6393358548539245,8.128492824609742,1.0
180,dfba04a156c13a94753a56bbbdd58969,5,3.781273911908238,4.251136956244396,0.6460038988109584
181,e06024d216d36ef2d7cddc8a67cf77a7,6,4.161060259491626,4.381073613404045,0.701476082535012
182,e1b0f11a76278ee3f33e48e2d81b50d0,8,3.122779289292776,3.9956108627619766,0.742802174465525
183,e3d27e46b8e06963920efb69f95df6fc,7,5.019803860873384,5.131993506717139,0.7319929480690077
184,e535002d3f0d00b98ff8a34754d6472b,10,4.938100772626376,5.766435891925475,0.5693597408468133
185,e60e86c5e68c34e34f69aa9257eb977b,15,1.6612142116239752,2.0856535459631633,0.5269436266589655
186,e8811b53add5bfb32640af600ba33399,4,4.612987778770816,5.299461212728589,-0.014853649242017028
187,e946e1f85b5de2dba4edcf1aebbfdc0a,2,2.451412819047469,3.137117948113158,1.0
188,eb5b94ef4672c2971d18f0d95d51f892,6,3.4848594365995047,4.720366569641879,0.7567014351078842
189,f066d6d9013a60a4b65eda0f2518f61a,5,2.8043215391469176,3.6450284487176363,0.573219840670696
190,f0db9e3e8b9b5080e5752383cceb34f6,8,3.53532769460029,3.9722403899100254,0.3510745506452042
191,f17129feb37d5dcec17728f50d7beb95,6,5.222852449835158,6.263421960689617,0.9621122082229846
192,f1dcebbb6fbe6d586ddb2c43c781e013,4,3.8409616654375354,5.009204033129672,0.514588753883689
193,f3e1995993cccfe83056a8deb2e315ff,14,3.838106694251676,4.388755013392974,0.797101963815335
194,f40ed30e72159a5c839a43fe97e0c905,18,3.0268948525018047,3.516929004486988,0.7175728476278099
